-27,25
-26,-12
-19,1
7,-6
-13,-25
5,-29
-23,11
-15,6
-17,-14
3,-28
1,17
-13,-25
-27,-10
-29,-22
11,23
27,-21
-29,-22
8,-16
-11,23
1,-21
30,-18
-1,13
-20,-29
19,7
-12,-19
-5,12
7,5
-6,-9
20,25
12,6
8,-13
-24,10
15,15
27,11
27,-12
-2,21
-4,-3
15,-3
2,10
-21,23
-10,-5
17,10
29,-1
-22,23
3,-12
-22,22
-26,-7
-13,29
12,-16
-14,-11
9,4
-13,3
-19,14
8,12
-29,4
-2,24
16,-29
-19,29
16,9
19,28
-8,-22
-12,27
-3,-17
0,-15
-2,30
21,28
-22,-25
23,-10
-14,-19
-14,18
-10,11
-19,11
15,29
19,-15
2,27
-23,-19
13,14
25,4
22,0
-24,7
-2,-15
29,-19
27,-15
-25,-7
-9,29
-5,19
-6,-3
-7,-7
-19,-30
-14,5
18,4
-23,8
-1,4
-10,-19
3,-2
24,14
0,-12
13,7
-30,4
8,-22
25,21
15,-21
10,14
-19,-7
3,29
30,-16
10,4
18,29
19,28
-5,-2
-14,4
-9,-2
8,0
-11,-11
8,21
-24,7
7,-5
26,-22
-22,-12
-26,9
3,21
-7,0
-27,26
-23,-22
-5,13
-27,22
-17,12
-21,-30
12,23
-17,-25
5,2
17,-18
10,-2
-12,-22
14,-2
3,-12
25,28
-12,10
29,-29
-2,-12
29,-3
-17,-2
-25,23
8,-4
-28,28
25,-3
-6,-22
3,14
22,14
-2,15
8,19
-15,3
-30,21
20,-20
-20,-29
29,27
-18,-11
-10,-15
13,19
-10,-13
-29,-25
-25,24
-20,-18
-28,-9
-2,-21
24,30
12,19
18,-7
8,-28
-16,-13
4,-26
-23,22
-25,21
-18,-18
-18,23
27,6
30,16
-6,4
-16,-4
6,18
-23,7
8,-29
23,-15
9,20
2,10
-7,5
23,11
-20,-4
-24,-25
23,-13
22,-27
-10,0
10,15
-12,-25
-1,-21
-27,7
-10,24
16,13
15,0
-24,0
30,14
19,-5
-15,24
22,-29
-8,4
21,-12
0,-21
26,-19
24,-16
10,-23
-10,-12
13,8
14,-20
12,-8
-25,-5
16,13
23,19
-29,18
-9,30
2,-19
-20,14
28,27
-20,11
30,13
-30,-18
13,19
5,20
26,7
13,-3
-24,-14
-13,24
-10,22
-30,-30
-25,-15
-15,15
-24,3
25,-6
26,2
-23,-15
-29,21
-7,0
-28,-28
30,-10
-27,-17
-12,24
18,-19
-25,16
-25,5
29,-29
13,-6
22,20
-18,-16
-2,2
-22,-30
23,-7
8,8
-1,-10
0,-3
9,-30
-9,-22
-3,16
-25,-10
-30,15
2,-13
22,-27
5,-22
25,9
8,23
-21,20
11,-1
0,-4
-28,-15
-17,25
19,10
-30,-28
-20,-26
18,1
20,-2
-11,-20
-22,18
-17,5
-9,-14
3,16
1,-30
-11,16
18,25
-29,30
-15,-15
-30,23
27,-8
7,14
23,-20
14,-7
18,5
30,3
-1,30
-1,11
16,8
6,2
17,22
2,-1
16,-25
-29,-28
3,13
29,15
-21,4
14,-21
18,19
-5,11
-28,-28
-29,9
11,12
-23,-19
19,2
-14,3
25,13
-20,30
16,13
-15,15
-14,-7
-12,13
5,22
-10,27
3,12
2,-17
20,-19
29,-17
-1,19
0,14
11,8
-25,2
30,4
13,17
-23,12
-22,28
-25,5
20,-15
-29,-26
30,26
13,-5
26,-17
-3,27
3,-28
-20,10
11,-26
29,21
-29,-21
14,-16
8,12
-16,-13
24,21
20,-20
13,16
-22,24
16,8
20,-9
18,16
-17,-27
5,-13
6,-20
11,-19
-19,1
-28,-17
22,-22
-1,-26
21,15
-5,-25
0,8
-16,24
-14,-16
-4,8
-22,18
16,11
-3,26
-26,-12
-20,2
-6,6
21,-28
-1,11
0,-19
21,5
-27,14
-15,-26
-13,9
-21,30
2,-19
23,-23
-19,-11
19,-22
-8,-20
-11,22
-11,18
4,-25
10,-13
-20,13
-10,-22
26,27
-16,26
13,2
20,-22
-28,19
-27,0
16,11
-18,19
21,-7
16,0
-24,9
-6,23
-27,26
-20,-7
-17,30
0,22
-12,2
17,-8
-21,-24
-11,-12
12,30
1,-13
-17,7
-30,15
-16,8
-20,-30
26,6
28,22
-18,28
22,-18
29,23
-9,5
7,-24
27,7
-15,-7
12,-5
-22,24
-5,-27
-6,28
-9,26
-15,-14
24,14
9,20
-15,15
-8,25
0,-17
0,-29
-23,15
15,22
10,-26
26,-4
5,12
28,-27
-29,-26
-13,10
30,28
3,-30
-29,-15
24,-6
25,14
20,-9
-24,-14
-29,-15
-13,-22
-1,-14
-10,9
-3,15
16,-9
19,-24
-22,1
-18,10
27,10
-25,-10
26,19
7,24
15,19
10,21
-30,-29
-10,10
-23,-24
22,1
23,20
14,29
-5,15
-26,18
-15,-15
-29,-28
-16,28
6,4
-11,24
25,-7
29,-28
17,5
13,2
-29,-25
-10,-13
6,-29
-6,19
0,-1
15,-9
15,25
-16,11
10,27
2,-30
27,30
-11,10
-12,22
-19,2
-19,21
-19,-7
18,25
23,-13
5,-5
6,4
6,3
-20,-19
12,3
-9,-26
-13,-1
1,28
22,-17
16,-27
20,26
8,-24
13,-14
-29,23
-10,-14
-3,-17
23,-27
-2,-24
-19,27
-14,28
-3,28
11,-25
14,-8
17,0
5,-14
-4,-3
27,25
4,17
16,17
23,-25
21,8
26,30
-10,-11
5,-7
23,21
-15,20
0,-1
-5,13
-1,-2
19,-25
3,22
-11,9
-23,6
27,6
3,-29
4,-17
-12,-19
-2,-27
4,2
-15,0
-15,8
-4,-18
-20,7
-20,-29
4,15
27,7
-18,-19
12,23
28,24
-3,10
-24,2
-10,12
0,8
30,25
30,-30
19,-3
13,-26
-17,12
-19,-12
-19,10
28,25
21,22
-29,-27
26,-30
-20,-27
10,19
-24,-1
22,-23
6,-23
18,-14
22,9
16,19
-5,8
-6,-28
-20,18
-5,12
14,3
-21,-14
19,28
20,13
-10,17
-8,-30
1,-26
25,-17
18,18
28,-14
-17,-25
7,25
7,4
-3,-17
-5,15
19,22
7,10
9,26
-8,13
